metric_key,metric_value
memory_model_mse,3.470325
memory_model_rmse,1.862881
memory_model_mae,0.754814
memory_model_r2_score,0.174989
no_memory_model_mse,3.726696
no_memory_model_rmse,1.930465
no_memory_model_mae,0.783014
no_memory_model_r2_score,0.114041
persistence_baseline_mse,4.52
persistence_baseline_rmse,2.126029
persistence_baseline_mae,1.352
persistence_baseline_r2_score,-0.074553
reactive_baseline_mse,4.257778
reactive_baseline_rmse,2.063438
reactive_baseline_mae,0.63456
reactive_baseline_r2_score,-0.012214
random_baseline_mse,39.647951
random_baseline_rmse,6.296662
random_baseline_mae,5.467288
random_baseline_r2_score,-8.425626
memory_vs_no_memory_gap_pct,6.88
